NO;Kalimat/Data;Sumber Akses Link;;;;;
1;Konsep green economy merupakan suatu konsep yang relatif baru, namun konsep ini sejatinya  pengembangan dari suistainable development.;Jurnal 1;;;;;
2;Penerapan dan pelaksanaan green economy yang terarah dan menyeluruh di Indonesia harus ditunjang oleh kebijakan pemerintah untuk menjamin keberhasilan penerapannya.;Jurnal 1;;;;;
3; Seperti yang telah ditetapkan oleh Kabinet Indonesia Bersatu II dalam Rencana Pembangunan Jangka Menengah Nasional-nya (RPJMN) periode 2010–2014 sebagai dasar pengembangan perekonomian Indonesia yang berkelanjutan yang antara lain dilakukan melalui aplikasi green budgeting untuk menata-kelola keuangan anggaran pemerintah.;Jurnal 1;;;;;
4;Konsep pembangunan berkelanjutan di Indonesia telah diamanatkan dalam Pembukaan Undang-Undang Dasar 1945;Jurnal 1;;;;;
5;Hal ini sejalan dengan hasil Konferensi PBB tentang Lingkungan Hidup yang diadakan di Stockholm Tahun 1972, Deklarasi Lingkungan Hidup KTT Bumi di Rio de Janeiro Tahun 1992, dan KTT Pembangunan Berkelanjutan di Johannesburg Tahun 2002 yang menyepakati prinsip dalam pengambilan keputusan pembangunan harus memperhatikan dimensi lingkungan.;Jurnal 1;;;;;
6;Implementasi dari green budgeting antara lain melalui penerapan green procurement pada kebijakan publik.;Jurnal 1;;;;;
7;Dalam rangka mengembangkan green economy, BKF kini tengah mengembangkan, mengevaluasi, dan menerapkan kebijakan fiskal dan instrumen pendanaan yang dapat menyumbang kepada tanggapan Indonesia terhadap perubahan iklim secara keseluruhan (Isu-Isu perubahan Iklim & Kebijakan Fiskal, Inisiatif 2009).;Jurnal 1;;;;;
8;Green economy merupakan suatu model pendekatan pembangunan ekonomi yang tidak lagi mengandalkan pembangunan ekonomi berbasis eksploitasi sumber daya alam dan lingkungan yang berlebihan.;Jurnal 1;;;;;
9;Green economy merupakan suatu lompatan besar untuk meninggalkan praktik-praktik ekonomi yang mementingkan keuntungan jangka pendek yang telah mewariskan berbagai permasalahan yang mendesak untuk ditangani, termasuk di antaranya menggerakkan perekonomian yang rendah karbon (low carbon economy).;Jurnal 1;;;;;
10;Peranan Kementerian Keuangan dalam mengimplementasikan konsep green economy sangat penting, selama ini kebijakan fiskal untuk green economy masih terbatas pada pengembangan opsi-opsi kebijakan fiskal dan ekonomi untuk melaksanakan mitigasi perubahan iklim yang berfokus pada sektor energi dan penggunaan lahan.;Jurnal 1;;;;;
11;Ke depan tantangan Kementerian Keuangan adalah mengembangkan kebijakan fiskal untuk dorongan kepada sektor industri menuju green industry, green electricity.;Jurnal 1;;;;;
12;Di samping itu, sejalan dengan konsep green economy, Kementerian Keuangan juga dituntut untuk mengembangkan kebijakan fiskal yang berorientasi pada green budgeting.;Jurnal 1;;;;;
13;Green  Economy dapat  diartikan  sebagai  model  ekonomi  baru  yang  bertolak  belakang dengan  model  ekonomi  sekarang  (black  economical  model)yang  mengunakan fossil fuels.;Jurnal 2;;;;;
14;Selain   itu, green   economy juga   didasarkan   pada   pengetahuan ecological economics yang  membahas  tentang  ketergantungan  manusia  secara  ekonomis  terhadap ekosistem  alam  akibat  ketergantungan  manusia  terhadap climate  change dan global warming(Anden, 2022).;Jurnal 2;;;;;
15;Konsep  ekonomi  hijau  meliputi  cakupan  yang  luas  dan  meruapkan  paradigma  baru dalam  pembangunan ekonomi  guna  menggantikan  kebijakan-kebijakan  lingkungan yang pada masa lalu kerap difokuskan pada solusi jangka pendek.;Jurnal 2;;;;;
